# English-French dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:02+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neuf
AIDS	SIDA
AOX value	valeur des composés organo-halogénés adsorbables
ASEAN ; Association of Southeast Asian Nations	ANASE
Abidjan	Abidjan
Abkhaz ; Abkhazian ; Abkhazian	abkhaze
Abkhazia	Abkhazie
Abuja	Abuja
Adelaide	Adélaïde
Adriatic Sea	Mer Adriatique
Aegean Sea	mer Égée
Afar ; Afar	afar
Afghanistan ; Transitional Islamic State of Afghanistan	Afghanistan
Africa	Afrique
Afrikaans	afrikaans
Albania ; Republic of Albania	Albanie ; République d’Albanie
Algeria ; People's Democratic Republic of Algeria	Algérie ; République algérienne démocratique et populaire
Alps	Alpes
American Samoa	Samoa américaines
American football ; American football	football américain
Americas	Les Amériques
Ames test	test de Ames
Amsterdam	Amsterdam
Andorra ; Principality of Andorra	Andorre
Angola ; Republic of Angola	Angola
Anguilla	Anguilla
Antarctic Ocean ; Southern Ocean	océan antarctique
Antarctic ecosystem	écosystème de l'Antarctique
Antarctica	Antarctique
Antigua and Barbuda	Antigua-et-Barbuda
April	avril
Apus	Oiseau de paradis
Aquarius	Verseau
Aquila	Aigle
Arabic ; Standard Arabic	arabe
Aragonese ; Aragonese	aragonais
Arctic Ocean	océan arctique
Arctic ecosystem	écosystème arctique
Argentina ; Argentine Republic	Argentine
Aries	Bélier
Arizona	Arizona
Armenia	Arménie ; République d'Arménie
Armenian	arménien
Articulata	articulata
Aruba	Aruba
Asia	Asie
Assamese ; Assamese	assamais
Asteraceae ; sunflower family ; Compositae ; daisy family ; aster family	Asteraceae
Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur	asturien
Athens	Athènes
Atlantic Ocean	Océan Atlantique
August	août
Australia ; Commonwealth of Australia	Australie
Austria ; Republic of Austria	Autriche
Austria-Hungary ; Austro-Hungarian Empire	Autriche-Hongrie ; Empire austro-hongrois
Azerbaijan ; Republic of Azerbaijan	Azerbaïdjan
Azerbaijani ; Azeri ; Azerbaijani Cluster	azéri
BBS ; bulletin board system	tableau électronique d'affichage et d'information
Bahamas ; Commonwealth of the Bahamas ; Bahama Islands	Bahamas
Bahrain	Bahreïn
Balearic Islands	Îles Baléares ; Iles Baléares ; Baléares
Bangladesh ; People's Republic of Bangladesh	Bangladesh
Barbados	Barbade
Basque ; Basque	basque
Bavaria	Bavière
Beijing	Pékin
Belarus ; Republic of Belarus	Bélarus ; Belarus ; Biélorussie
Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian	biélorusse ; biélorussien
Belgium ; Kingdom of Belgium	Belgique
Belgrade	Belgrade
Belize	Belize ; Bélize
Belmopan	Belmopan
Bengali ; Bengali	bengalî
Benin ; Benin ; Republic of Benin	Bénin ; Bénin
Berlin	Berlin
Bermuda	Bermudes
Berne	Berne
Bethlehem	Bethléem
Bhutan ; Kingdom of Bhutan	Bhoutan
Bible	Bible
Birmingham	Birmingham
Black Sea	Mer noire
Bokmål	bokmål
Bolivia ; Republic of Bolivia	Bolivie
Bonn	Bonn
Borneo ; Kalimantan	Bornéo
Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina	Bosnie-Herzégovine
Bosnian ; Bosnian	bosnien ; bosniaque
Botswana ; Republic of Botswana	Botswana
Bourgogne	Bourgogne
Bouvet Island	Île Bouvet
Boötes	Bouvier
Bratislava	Bratislava
Brazil	Brésil
Breton ; Breton	breton
British Indian Ocean Territory ; BIOT	Territoire m britannique de l' Océan Indien ; Territoire britannique de l' Océan Indien
Brunei ; Negara Brunei Darussalam	Brunei ; Brunéi Darussalam
Brussels	Bruxelles
Bucharest	Bucarest
