# English-German dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:37+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neun
AIDS	AIDS
AOX value	AOX-Wert
ASEAN ; Association of Southeast Asian Nations	ASEAN
Abidjan	Abidjan
Abkhaz ; Abkhazian ; Abkhazian	Abchasisch
Abkhazia	Abchasien
Abuja	Abuja
Adelaide	Adelaide
Adriatic Sea	Adriatisches Meer ; Adria
Aegean Sea	Ägäisches Meer ; Ägäis
Afar ; Afar	Afar
Afghanistan ; Transitional Islamic State of Afghanistan	Afghanistan
Africa	Afrika
Afrikaans	Afrikaans
Albania ; Republic of Albania	Albanien ; Republik Albanien
Algeria ; People's Democratic Republic of Algeria	Algerien ; Demokratische Volksrepublik Algerien
Alps	Alpen
American Samoa	Amerikanisch-Samoa
American football ; American football	American Football ; amerikanischer Fußball
Americas	Amerika
Ames test	AMES-Test
Amsterdam	Amsterdam
Andorra ; Principality of Andorra	Andorra
Angola ; Republic of Angola	Angola ; Republik Angola
Anguilla	Anguilla
Antarctic Ocean ; Southern Ocean	Antarktik ; Antarktischer Ozean ; Südlicher Ozean ; Südliches Eismeer ; Südpolarmeer
Antarctic ecosystem	Ökosystem der Antarktis
Antarctica	Antarktis
Antigua and Barbuda	Antigua und Barbuda
April	April
Apus	Paradiesvogel
Aquarius	Wassermann
Aquila	Adler
Arabic ; Standard Arabic	Arabisch
Aragonese ; Aragonese	Aragonesisch
Arctic Ocean	Arktik ; Arktischer Ozean ; Nördliches Eismeer ; Nordpolarmeer
Arctic ecosystem	Ökosystem der Arktis
Argentina ; Argentine Republic	Argentinien
Aries	Widder
Arizona	Arizona
Armenia	Armenien
Armenian	Armenisch
Articulata	Gliedertier
Aruba	Aruba
Asia	Asien
Assamese ; Assamese	Asamiya ; Assamesisch
Asteraceae ; sunflower family ; Compositae ; daisy family ; aster family	Korbblütler ; Asterngewächse
Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur	Asturianisch ; Asturisch ; Asturischleonesisch
Athens	Athen
Atlantic Ocean	Atlantischer Ozean ; Atlantik
August	August
Australia ; Commonwealth of Australia	Australien
Austria ; Republic of Austria	Alpenrepublik ; Österreich
Austria-Hungary ; Austro-Hungarian Empire	Österreich-Ungarn ; Österreichisch-Ungarische Monarchie ; Donaumonarchie ; Doppelmonarchie
Azerbaijan ; Republic of Azerbaijan	Aserbaidschan
Azerbaijani ; Azeri ; Azerbaijani Cluster	Aserbaidschanisch
Azores	Azoren
BBS ; bulletin board system	BBS ; Mailbox
Bahamas ; Commonwealth of the Bahamas ; Bahama Islands	Bahamas
Bahrain	Bahrain
Balearic Islands	Balearische Inseln ; Balearen
Bangladesh ; People's Republic of Bangladesh	Bangladesch
Barbados	Barbados
Basque ; Basque	Baskisch
Bavaria	Bayern
Beijing	Peking
Belarus ; Republic of Belarus	Weißrussland ; Belarus
Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian	Weißrussisch ; Belarussisch ; Weißruthenisch
Belgium ; Kingdom of Belgium	Belgien
Belgrade	Belgrad
Belize	Belize
Belmopan	Belmopan
Bengali ; Bengali	Bengali
Benin ; Benin ; Republic of Benin	Benin ; Benin
Berlin	Berlin
Bermuda	Bermuda-Inseln
Berne	Bern
Bethlehem	Betlehem
Bhutan ; Kingdom of Bhutan	Bhutan
Birmingham	Birmingham
Black Sea	Schwarzes Meer
Bokmål	Bokmål
Bolivia ; Republic of Bolivia	Bolivien
Bonn	Bonn
Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina	Bosnien und Herzegowina
Bosnian ; Bosnian	Bosnisch
Botswana ; Republic of Botswana	Botsuana
Bourgogne	Burgund
Bouvet Island	Bouvetinsel
Boötes	Bootes ; Bärenhüter
Bratislava	Pressburg
Brazil	Brasilien
Breton ; Breton	Bretonisch
British Indian Ocean Territory ; BIOT	Britisches Territorium im Indischen Ozean
Brunei ; Negara Brunei Darussalam	Brunei
Brussels	Brüssel
Bucharest	Bukarest
Bulgaria ; Republic of Bulgaria	Bulgarien
Bulgarian	Bulgare ; Bulgare ; Bulgarin
Bulgarian ; Bulgarian	Bulgarisch
Burkina Faso	Burkina Faso
Burmese	Birmanisch ; Burmesisch
Burundi ; Republic of Burundi	Burundi
CD-ROM	CD-ROM
CD-ROM search service	CD-ROM Suchdienst
CFC ; chlorofluorocarbon	Fluorchlorkohlenwasserstoff
CFC and halons prohibition	FCKW-Halon-Verbot
Cairo	Kairo
California	Kalifornien
Cambodia ; Kingdom of Cambodia	Kambodscha
Cameroon ; Republic of Cameroon	Kamerun
Canada	Kanada
Cancer	Krebs
Canes Venatici	Jagdhunde
Canis Major	Großer Hund
Canis Minor	Kleiner Hund
Cape Verde ; Republic of Cape Verde	Kap Verde
Capricorn	Steinbock
Caribbean Area ; Caribbean	Karibik
Caribbean Sea	Karibisches Meer
Caspian Sea	Kaspisches Meer
Cassiopeia	Cassiopeia ; Kassiopeia
Castilian ; Spanish ; Spanish	Spanisch
Catalan ; Catalan	Katalanisch
Cayman Islands	Kaimaninseln
Central Africa	Zentralafrika
Central African Republic	Zentralafrikanische Republik
Central America	Zentralamerika
Central Asia	Zentralasien
Chad ; Republic of Chad	Tschad
Charente	Charente
Chechen ; Chechen	Tschetschenisch
Chihuahua	Chihuahua
Chihuahua ; chihuahua	Chihuahua
Chile ; Republic of Chile	Chile
Chinese	Chinesisch
Christmas	Weihnachten
Christmas Island	Weihnachtsinsel
Christmas tree	Weihnachtsbaum ; Christbaum ; Tannenbaum
Chuvash ; Chuvash ; Chuwash ; Chovash ; Chavash ; Chttash	tschuwaschische Sprache ; Tschuwaschisch ; Tschttaschisch
Cologne	Köln
Colombia ; Republic of Colombia	Kolumbien
Community act	Rechtsakt der Gemeinschaft
Community budget	Haushaltsplan der Gemeinschaft
Community finance	Finanzen der Gemeinschaft
Community law	Gemeinschaftsrecht
Community legal system	Rechtsordnung der Gemeinschaft
Community ruling	Gemeinschaftsregelung
Comoros ; Union of the Comoros	Komoren
Cook Islands	Cookinseln
Copenhagen	Kopenhagen
Corfu	Korfu
Cornish	Kornisch ; Kernewek ; Kernowek ; Kernuak
Corsican ; Corsican	Korsisch
Costa Rica ; Republic of Costa Rica	Costa Rica
Court of Justice of the European Communities	Gerichtshof der Europäischen Gemeinschaften
Croatia ; Republic of Croatia	Kroatien
Croatian ; Croation	Kroatisch
Cuba ; Republic of Cuba	Kuba
Cyprus ; Republic of Cyprus	Zypern ; Republik Zypern
Cyrillic alphabet	kyrillisches Alphabet ; Kyrillisch
Czech ; Czech	Tschechisch
Czech Republic ; Czechia	Tschechien ; Tschechei ; Tschechische Republik
DDT ; dichloro-diphenyl-trichloroethane	DDT ; Dichlordiphenyltrichlorethan
DNA ; deoxyribonucleic acid	DNA ; Desoxyribonukleinsäure ; DNS
Dagestan	Dagestan
Dakar	Dakar
Danish	Dänisch
December	Dezember
Definition ; definition	Definition
Delaware	Delaware
Democratic Republic of the Congo ; Congo-Kinshasa	Demokratische Republik Kongo
Denmark ; Kingdom of Denmark	Dänemark
Djibouti ; Republic of Djibouti	Dschibuti
Dominica ; Commonwealth of Dominica	Dominica
Dominican Republic	Dominikanische Republik
Down syndrome ; Down’s syndrome	Down-Syndrom ; Trisomie 21
Dublin	Dublin
Dutch	Niederländisch
EC Council of Ministers	EG-Ministerrat
EC Treaty	EG-Vertrag
EC directive	EU-Richtlinie
EC directive on biocides	EU-Biozidrichtlinie
EC directive on waste disposal	EU-Deponierichtlinie
EC directive on water protection	EU-Wasserschutzrichtlinie
EC ecolabel	EU-Umweltzeichen
EC policy	EU-Politik
EC regulation	EU-Verordnung
EC regulation on eco-management and audit	EU-Umweltaudit-Verordnung
EC regulation on existing chemicals	EU-Altstoffverordnung
EIA (local)	kommunale Umweltverträglichkeitsprüfung ; UVP (kommunal)
EIA ; environmental impact assessment	Umweltverträglichkeitsprüfung ; UVP
EIA directive	UVP-Richtlinie
EIA law	UVP-Gesetz
EU ; European Union	EU ; Europäische Union
EU Council	Rat der Europäischen Union
Earth-Sun relationship	Erde-Sonne-Beziehung
East Africa	Ostafrika
East Timor ; Democratic Republic of Timor-Leste	Osttimor
East-West relations	Ost-West-Beziehung
East-West trade	Ost-West-Handel
Easter	Ostern ; Osterfest
Eastern Asia ; East Asia	Ostasien
Eastern Europe	Osteuropa
Ecuador ; Republic of Ecuador	Ecuador
Egypt ; Arab Republic of Egypt	Ägypten
Eiffel Tower	Eiffelturm
El Salvador ; Republic of El Salvador	El Salvador
England	England
English	Englisch
English garden	Englischer Garten
